point,lat,lon,var,scen,score
0,37.770832785,-122.57083498,2024,pr,rcp26,1.40567084403	

1,37.770832785,-122.57083498,2024,tasmax,rcp26,0.995976807069	

2,37.770832785,-122.57083498,2024,tasmin,rcp26,1.00362515109	

3,37.770832785,-122.57083498,2024,pr,rcp45,1.45166783464	

4,37.770832785,-122.57083498,2024,tasmax,rcp45,0.995942325695	

5,37.770832785,-122.57083498,2024,tasmin,rcp45,1.0035833303	

6,37.770832785,-122.57083498,2024,pr,rcp60,1.34770291079	

7,37.770832785,-122.57083498,2024,tasmax,rcp60,0.995869887891	

8,37.770832785,-122.57083498,2024,tasmin,rcp60,1.00352875713	

9,37.770832785,-122.57083498,2024,pr,rcp85,1.47639975588	

10,37.770832785,-122.57083498,2024,tasmax,rcp85,0.995964828577	

11,37.770832785,-122.57083498,2024,tasmin,rcp85,1.00355044281	

12,37.770832785,-122.56250165,2024,pr,rcp26,1.40062637861	

13,37.770832785,-122.56250165,2024,tasmax,rcp26,0.996000698632	

14,37.770832785,-122.56250165,2024,tasmin,rcp26,1.00359304955	

15,37.770832785,-122.56250165,2024,pr,rcp45,1.44735679018	

16,37.770832785,-122.56250165,2024,tasmax,rcp45,0.995966139725	

17,37.770832785,-122.56250165,2024,tasmin,rcp45,1.0035513159	

18,37.770832785,-122.56250165,2024,pr,rcp60,1.34393299772	

19,37.770832785,-122.56250165,2024,tasmax,rcp60,0.995894085214	

20,37.770832785,-122.56250165,2024,tasmin,rcp60,1.00349735283	

21,37.770832785,-122.56250165,2024,pr,rcp85,1.4728187551	

22,37.770832785,-122.56250165,2024,tasmax,rcp85,0.995988823784	

23,37.770832785,-122.56250165,2024,tasmin,rcp85,1.00351859782	

24,37.770832785,-122.55416832,2024,pr,rcp26,1.39267722325	

25,37.770832785,-122.55416832,2024,tasmax,rcp26,0.995999641888	

26,37.770832785,-122.55416832,2024,tasmin,rcp26,1.00363027602	

27,37.770832785,-122.55416832,2024,pr,rcp45,1.43929118005	

28,37.770832785,-122.55416832,2024,tasmax,rcp45,0.995964986925	

29,37.770832785,-122.55416832,2024,tasmin,rcp45,1.00358864604	

30,37.770832785,-122.55416832,2024,pr,rcp60,1.33648092288	

31,37.770832785,-122.55416832,2024,tasmax,rcp60,0.995893332092	

32,37.770832785,-122.55416832,2024,tasmin,rcp60,1.00353526987	

33,37.770832785,-122.55416832,2024,pr,rcp85,1.46482786833	

34,37.770832785,-122.55416832,2024,tasmax,rcp85,0.995987887971	

35,37.770832785,-122.55416832,2024,tasmin,rcp85,1.00355609968	

